"";"Date";"Team_home";"Team_away";"Final_H";"Final_A";"nb_matchs";"unique_teamgoal";"pdata";"pred"
"189";2018-12-22;"Angers SCO";"Olympique de Marseille";1;1;17;0;0,0660191753478699;0
"190";2018-10-20;"RC Strasbourg Alsace";"AS Monaco";2;1;10;0;0,706190499732576;1
"191";2018-11-11;"Stade Rennais FC";"FC Nantes";1;1;13;0;0,70577426241267;1
"192";2019-03-05;"Girondins de Bordeaux";"Montpellier Hérault SC";1;2;27;0;0,266145322640283;0
"193";2019-01-12;"Amiens SC";"Paris Saint-Germain";0;3;20;1;0,48990029411841;0
"194";2019-02-02;"AS Monaco";"Toulouse FC";2;1;23;0;0,710303837907596;1
"195";2019-03-02;"Stade de Reims";"Amiens SC";2;2;27;0;0,435852957624051;0
"196";2018-11-03;"OGC Nice";"Amiens SC";1;0;12;1;1,29003079620946;1
"197";2018-12-02;"Olympique de Marseille";"Stade de Reims";0;0;15;1;0,620079578397486;1
"198";2018-12-08;"Stade Rennais FC";"Dijon FCO";2;0;17;1;0,949109822063583;1
"199";2019-01-30;"FC Nantes";"AS Saint-Etienne";1;1;22;0;0,191704949691657;0
"200";2019-01-18;"LOSC";"Amiens SC";2;1;21;0;0,716208477494764;1
"201";2019-04-06;"EA Guingamp";"AS Monaco";1;1;31;0;0,370485639715549;0
"202";2018-12-05;"RC Strasbourg Alsace";"Paris Saint-Germain";1;1;16;0;0,443871209687144;0
"203";2018-11-11;"Girondins de Bordeaux";"SM Caen";0;0;13;1;0,522530693755843;1
"204";2019-01-16;"AS Monaco";"OGC Nice";1;1;20;0;0,751152242546891;1
"205";2018-12-04;"Amiens SC";"AS Monaco";0;2;16;1;0,625777169823271;1
"206";2019-01-26;"EA Guingamp";"Stade de Reims";0;1;22;1;0,5655341854027;1
"207";2018-11-10;"Nîmes Olympique";"OGC Nice";0;1;13;1;0,550749225030698;1
"208";2018-12-02;"Stade Rennais FC";"RC Strasbourg Alsace";1;4;15;0;0,25082372181652;0
"209";2018-12-01;"Angers SCO";"SM Caen";1;1;15;0;0,63032742818485;1
"210";2018-10-26;"Nîmes Olympique";"AS Saint-Etienne";1;1;11;0;0,40675181084613;0
"211";2019-01-27;"Paris Saint-Germain";"Stade Rennais FC";4;1;20;0;0,249217052703882;0
"212";2019-01-20;"SM Caen";"Olympique de Marseille";0;1;21;1;0,306099035528329;0
